State,Opponent,Score,Season
T,@ORL,0:0,2021
W,CHI,3:1,2021
L,@NE,2:1,2021
T,@MIA,1:1,2021
W,MTL,1:0,2021
T,@SEA,1:1,2021
T,NSH,2:2,2021
T,PHI,2:2,2021
L,@NYC,1:0,2021
T,RBNY,0:0,2021
L,@CHI,3:0,2021
T,@NSH,2:2,2021
L,NE,0:1,2021
T,@CIN,1:1,2021
L,CLB,0:1,2021
L,@ORL,3:2,2021
T,@MTL,2:2,2021
W,@CLB,2:3,2021
W,LAFC,1:0,2021
W,TOR,1:0,2021
W,@DC,1:2,2021
L,NSH,0:2,2021
W,ORL,3:0,2021
W,CIN,4:0,2021
W,DC,3:2,2021
L,@PHI,1:0,2021
W,MIA,1:0,2021
L,@MTL,2:1,2021
W,@TOR,0:2,2021
T,NYC,1:1,2021
W,MIA,2:1,2021
T,TOR,1:1,2021
T,@RBNY,0:0,2021
W,@CIN,1:2,2021
W,SKC,3:1,2022
L,@COL,3:0,2022
W,CLT,2:1,2022
T,MTL,3:3,2022
W,@DC,0:1,2022
