State,Opponent,Score,Season
L,@LAFC,2:0,2021
W,@COL,1:3,2021
T,SJ,0:0,2021
W,@MIN,0:1,2021
L,@SKC,2:1,2021
L,@LA,2:0,2021
L,@NSH,1:0,2021
T,@SEA,0:0,2021
L,@MIN,2:0,2021
T,CLB,0:0,2021
W,POR,4:1,2021
L,LAFC,0:2,2021
T,@SKC,1:1,2021
L,SEA,0:1,2021
L,@VAN,2:1,2021
L,COL,0:1,2021
W,HOU,3:2,2021
L,@DAL,2:0,2021
L,@RSL,1:0,2021
L,VAN,1:2,2021
W,POR,3:1,2021
L,DAL,3:5,2021
L,@HOU,3:0,2021
L,LAFC,1:2,2021
L,SJ,3:4,2021
W,LA,2:0,2021
L,@COL,3:0,2021
W,RSL,2:1,2021
L,MIN,0:1,2021
L,@SJ,4:0,2021
W,HOU,2:1,2021
L,@DAL,2:1,2021
W,SKC,3:1,2021
L,@POR,3:0,2021
W,CIN,5:0,2022
W,MIA,5:1,2022
L,@POR,1:0,2022
T,SEA,1:1,2022
T,@SJ,2:2,2022
