State,Opponent,Score,Season
T,COL,0:0,2021
L,@SJ,3:1,2021
W,POR,4:1,2021
T,HOU,1:1,2021
L,@MIN,1:0,2021
T,RSL,2:2,2021
L,@COL,3:0,2021
T,MIN,1:1,2021
L,@LAFC,2:0,2021
W,NE,2:1,2021
T,VAN,2:2,2021
L,@LA,3:1,2021
L,@POR,1:0,2021
L,@COL,2:0,2021
W,LA,4:0,2021
W,@SKC,1:2,2021
T,@SEA,1:1,2021
W,ATX,2:0,2021
L,SKC,0:2,2021
L,SEA,0:1,2021
T,@HOU,2:2,2021
W,@ATX,3:5,2021
L,@RSL,3:2,2021
T,SJ,1:1,2021
T,@NYC,3:3,2021
L,@HOU,3:2,2021
L,@VAN,1:0,2021
L,SKC,1:3,2021
T,MIN,0:0,2021
L,LAFC,2:3,2021
T,@LA,2:2,2021
L,RSL,1:2,2021
W,ATX,2:1,2021
T,@SJ,1:1,2021
T,TOR,1:1,2022
L,@NE,1:0,2022
W,NSH,2:0,2022
W,POR,4:1,2022
T,@CHI,0:0,2022
W,COL,3:1,2022
