State,Opponent,Score,Season
W,NYC,2:1,2021
L,@NE,1:0,2021
L,@SJ,4:1,2021
L,@CLB,3:1,2021
W,CHI,1:0,2021
L,ORL,0:1,2021
L,PHI,0:1,2021
W,@MIA,0:3,2021
W,MIA,1:0,2021
T,@MTL,0:0,2021
L,@NYC,2:1,2021
W,TOR,7:1,2021
L,@PHI,2:1,2021
T,@CHI,2:2,2021
W,RBNY,1:0,2021
T,@CIN,0:0,2021
W,@CLB,2:4,2021
W,MTL,2:1,2021
L,@NSH,5:2,2021
L,@NE,3:2,2021
L,ATL,1:2,2021
W,PHI,3:1,2021
T,@RBNY,1:1,2021
W,CHI,3:0,2021
L,@ATL,3:2,2021
W,CIN,4:2,2021
W,MIN,3:1,2021
L,@ORL,2:1,2021
T,NSH,0:0,2021
L,NE,2:3,2021
L,@NYC,6:0,2021
W,RBNY,1:0,2021
L,CLB,1:3,2021
W,@TOR,1:3,2021
W,CLT,3:0,2022
W,@CIN,0:1,2022
L,CHI,0:2,2022
L,@TOR,2:1,2022
L,ATL,0:1,2022
