State,Opponent,Score,Season
W,@RBNY,1:2,2021
T,ORL,1:1,2021
L,@RSL,3:1,2021
W,ATX,2:1,2021
L,@HOU,1:0,2021
W,VAN,3:0,2021
W,@SJ,1:3,2021
W,HOU,3:2,2021
L,@POR,2:1,2021
W,COL,3:1,2021
W,LAFC,2:1,2021
W,@LA,0:2,2021
T,ATX,1:1,2021
T,SJ,1:1,2021
W,@SEA,1:3,2021
L,DAL,1:2,2021
W,@LAFC,1:4,2021
T,@COL,0:0,2021
W,@DAL,0:2,2021
T,POR,1:1,2021
T,@MIN,0:0,2021
T,COL,1:1,2021
L,@LAFC,4:0,2021
W,CHI,2:0,2021
W,MIN,4:0,2021
L,SEA,1:2,2021
W,@DAL,1:3,2021
W,HOU,4:2,2021
L,@VAN,2:1,2021
W,@SEA,1:2,2021
W,LA,2:0,2021
L,@MIN,2:1,2021
L,@ATX,3:1,2021
L,RSL,0:1,2021
L,@ATL,3:1,2022
W,HOU,1:0,2022
L,@COL,2:0,2022
L,@CHI,3:1,2022
W,RSL,1:0,2022
L,@VAN,1:0,2022
L,NSH,1:2,2022
