State,Opponent,Score,Season
L,LA,2:3,2021
W,@PHI,1:2,2021
W,@CIN,2:3,2021
T,@NSH,0:0,2021
T,ATL,1:1,2021
L,MTL,0:2,2021
L,@CHI,1:0,2021
L,DC,0:3,2021
L,@DC,1:0,2021
L,ORL,1:2,2021
L,@MTL,1:0,2021
L,@RBNY,1:0,2021
L,NE,0:5,2021
T,PHI,1:1,2021
W,MTL,2:1,2021
T,@ORL,1:1,2021
W,NSH,2:1,2021
L,@NYC,2:0,2021
W,CHI,3:2,2021
W,TOR,3:1,2021
T,@ORL,0:0,2021
W,@CIN,0:1,2021
W,CLB,1:0,2021
W,@TOR,0:1,2021
L,RBNY,0:4,2021
L,NSH,1:5,2021
L,@ATL,1:0,2021
L,@POR,1:0,2021
L,@CLB,4:0,2021
W,TOR,3:0,2021
W,CIN,5:1,2021
L,@ATL,2:1,2021
L,NYC,1:3,2021
W,@NE,0:1,2021
T,CHI,0:0,2022
L,@ATX,5:1,2022
L,LAFC,0:2,2022
L,@CIN,3:1,2022
L,HOU,1:3,2022
W,NE,3:2,2022
