State,Opponent,Score,Season
L,@SEA,4:0,2021
L,RSL,1:2,2021
L,ATX,0:1,2021
L,@COL,3:2,2021
W,VAN,1:0,2021
W,DAL,1:0,2021
T,@RSL,1:1,2021
T,@DAL,1:1,2021
W,ATX,2:0,2021
W,@POR,0:1,2021
T,SJ,2:2,2021
L,@COL,2:0,2021
W,SEA,1:0,2021
W,POR,2:1,2021
T,@LAFC,2:2,2021
T,@VAN,2:2,2021
L,COL,1:3,2021
W,HOU,2:0,2021
L,LA,0:1,2021
T,@SJ,1:1,2021
T,SKC,0:0,2021
W,@HOU,1:2,2021
L,@SEA,1:0,2021
L,@SKC,4:0,2021
W,LA,3:0,2021
W,HOU,2:0,2021
L,@DC,3:1,2021
T,@DAL,0:0,2021
W,@ATX,0:1,2021
W,PHI,3:2,2021
T,LAFC,1:1,2021
L,@VAN,2:1,2021
W,SKC,2:1,2021
T,@LA,3:3,2021
T,@PHI,1:1,2022
T,NSH,1:1,2022
W,@RBNY,0:1,2022
W,SJ,1:0,2022
L,SEA,1:2,2022
