State,Opponent,Score,Season
T,CIN,2:2,2021
T,MTL,2:2,2021
T,MIA,0:0,2021
W,NE,2:0,2021
T,@RSL,0:0,2021
W,ATX,1:0,2021
T,@ATL,2:2,2021
L,@RBNY,2:0,2021
W,TOR,3:2,2021
T,MTL,1:1,2021
W,PHI,1:0,2021
T,ATL,2:2,2021
W,CHI,5:1,2021
T,@CLB,0:0,2021
W,CIN,3:0,2021
T,@TOR,1:1,2021
T,@NE,0:0,2021
L,@MIA,2:1,2021
W,DC,5:2,2021
T,ORL,1:1,2021
W,@ATL,0:2,2021
W,NYC,3:1,2021
W,@MTL,0:1,2021
L,@TOR,2:1,2021
W,@MIA,1:5,2021
T,@CHI,0:0,2021
T,ORL,2:2,2021
T,@NYC,0:0,2021
T,@DC,0:0,2021
T,CLB,1:1,2021
L,@PHI,1:0,2021
W,@CIN,3:6,2021
T,@ORL,1:1,2021
T,RBNY,1:1,2021
W,@SEA,0:1,2022
T,@MIN,1:1,2022
L,@DAL,2:0,2022
L,@RSL,2:1,2022
W,@CLB,0:1,2022
W,@SKC,1:2,2022
