State,Opponent,Score,Season
T,@CHI,2:2,2021
W,DC,1:0,2021
W,ATL,2:1,2021
L,@NSH,2:0,2021
T,@PHI,1:1,2021
W,CLB,1:0,2021
W,RBNY,3:1,2021
W,@CIN,0:1,2021
W,@NYC,2:3,2021
W,RBNY,3:2,2021
L,@DAL,2:1,2021
T,@CLB,2:2,2021
L,TOR,2:3,2021
W,@ATL,0:1,2021
W,@MIA,0:5,2021
W,MTL,2:1,2021
W,@RBNY,2:3,2021
T,NSH,0:0,2021
W,PHI,2:1,2021
W,@TOR,1:2,2021
W,DC,3:2,2021
W,CIN,4:1,2021
L,@NYC,2:0,2021
W,NYC,2:1,2021
W,@PHI,0:1,2021
T,CLB,1:1,2021
W,ORL,2:1,2021
W,@MTL,1:4,2021
T,CHI,2:2,2021
W,@DC,2:3,2021
T,@ORL,2:2,2021
W,COL,1:0,2021
W,@CHI,2:3,2021
L,MIA,0:1,2021
T,@POR,2:2,2022
W,DAL,1:0,2022
L,RSL,2:3,2022
L,@CLT,3:1,2022
L,RBNY,0:1,2022
L,@MIA,3:2,2022
