State,Opponent,Score,Season
L,SKC,1:2,2021
L,@LA,3:2,2021
W,CHI,2:0,2021
W,TOR,2:0,2021
L,@PHI,1:0,2021
L,@NE,3:1,2021
W,ORL,2:1,2021
W,NSH,2:0,2021
L,@NE,3:2,2021
T,@ATL,0:0,2021
W,@ORL,1:2,2021
T,PHI,1:1,2021
W,MIA,1:0,2021
T,@TOR,1:1,2021
L,@DC,1:0,2021
L,NE,2:3,2021
T,CIN,0:0,2021
L,@CHI,2:1,2021
L,@MTL,2:1,2021
W,CLB,1:0,2021
T,NYC,1:1,2021
L,CHI,0:1,2021
T,DC,1:1,2021
W,@MIA,0:4,2021
W,@NYC,0:1,2021
T,PHI,1:1,2021
W,@CIN,0:1,2021
W,NYC,1:0,2021
W,@CLB,1:2,2021
L,@DC,1:0,2021
W,MTL,1:0,2021
T,ATL,0:0,2021
T,@NSH,1:1,2021
L,@CLB,2:1,2021
W,@SJ,1:3,2022
W,@TOR,1:4,2022
L,MIN,0:1,2022
T,CLB,1:1,2022
W,@NE,0:1,2022
L,MTL,1:2,2022
