State,Opponent,Score,Season
T,ATL,0:0,2021
T,@SKC,1:1,2021
W,CIN,3:0,2021
T,NYC,1:1,2021
W,@DC,0:1,2021
W,TOR,1:0,2021
L,@RBNY,2:1,2021
W,@TOR,2:3,2021
W,SJ,5:0,2021
W,@MIA,1:2,2021
L,RBNY,1:2,2021
L,@CHI,3:1,2021
T,@TOR,1:1,2021
W,PHI,2:1,2021
L,@NYC,5:0,2021
W,ATL,3:2,2021
T,MIA,1:1,2021
T,@CIN,1:1,2021
T,@NSH,1:1,2021
W,CHI,1:0,2021
T,MIA,0:0,2021
W,CLB,3:2,2021
L,@ATL,3:0,2021
L,MTL,2:4,2021
L,@PHI,3:1,2021
L,@NE,2:1,2021
T,@NSH,2:2,2021
W,DC,2:1,2021
W,@CIN,0:1,2021
T,MTL,1:1,2021
T,NE,2:2,2021
L,@CLB,3:2,2021
T,NSH,1:1,2021
W,@MTL,0:2,2021
W,MTL,2:0,2022
T,@CHI,0:0,2022
L,CIN,1:2,2022
W,@LA,0:1,2022
T,@POR,1:1,2022
L,LAFC,2:4,2022
