State,Opponent,Score,Season
L,@HOU,2:1,2021
W,DAL,3:1,2021
T,@ATX,0:0,2021
W,DC,4:1,2021
W,@RSL,1:2,2021
L,SEA,0:1,2021
L,POR,0:2,2021
L,SKC,1:3,2021
L,@LA,1:0,2021
L,@ORL,5:0,2021
L,LA,1:3,2021
T,@MIN,2:2,2021
T,@COL,1:1,2021
T,@SKC,1:1,2021
T,HOU,1:1,2021
W,@SEA,0:1,2021
T,@POR,1:1,2021
W,LAFC,2:1,2021
T,VAN,0:0,2021
T,MIN,1:1,2021
W,@LA,1:2,2021
L,COL,0:1,2021
T,@DAL,1:1,2021
L,RSL,3:4,2021
W,@ATX,3:4,2021
W,LAFC,2:0,2021
L,SEA,1:3,2021
L,@VAN,3:0,2021
L,@LAFC,3:1,2021
W,ATX,4:0,2021
T,VAN,1:1,2021
L,@POR,2:0,2021
W,@RSL,3:4,2021
T,DAL,1:1,2021
L,RBNY,1:3,2022
T,CLB,3:3,2022
L,@PHI,2:0,2022
L,@MIN,1:0,2022
T,ATX,2:2,2022
L,@HOU,4:3,2022
