State,Opponent,Score,Season
W,MIN,4:0,2021
T,@LAFC,1:1,2021
W,LA,3:0,2021
W,@POR,1:2,2021
W,@SJ,0:1,2021
W,LAFC,2:0,2021
T,ATL,1:1,2021
T,ATX,0:0,2021
W,@LA,1:2,2021
W,RSL,2:1,2021
T,VAN,2:2,2021
T,@COL,1:1,2021
W,HOU,2:0,2021
L,@MIN,1:0,2021
W,@ATX,0:1,2021
L,SKC,1:3,2021
L,SJ,0:1,2021
T,DAL,1:1,2021
W,@POR,2:6,2021
W,@DAL,0:1,2021
W,@CLB,1:2,2021
L,POR,0:2,2021
W,MIN,1:0,2021
W,VAN,4:1,2021
L,@RSL,1:0,2021
W,@SKC,1:2,2021
W,@SJ,1:3,2021
W,COL,3:0,2021
L,@HOU,2:1,2021
T,@COL,1:1,2021
L,SKC,1:2,2021
L,@LAFC,3:0,2021
T,LA,1:1,2021
T,@VAN,1:1,2021
L,NSH,0:1,2022
W,@RSL,1:0,2022
T,LA,3:2,2022
W,@ATX,1:1,2022
